Tên,Lớp,Giới tính,Diem1,Diem2,Diem3,Diem4,Diem5,Diem6,Diem7,Diem8,Diem9,Diem10
Võ Thị Nhi,6A1,Nữ,2.5,1.75,6.25,1.75,2.5,6.75,9,2,8.5,2.75
Hoàng Minh Sơn,12C1,Nam,8,9,8.5,8,2,0.5,0,7.25,3.5,3.5
Vũ Thị Vy,11A2,Nữ,0.75,3,2.5,1.5,5.25,1.75,9,0.25,9.75,8.75
Trần Văn Sơn,2B2,Nam,8,2,0,5.5,4.5,8,8.5,3.5,7.25,6
Huỳnh Gia Dũng,12A2,Nam,0.5,4,3.5,7,6.25,2,6,0.75,4.75,9.75
Bùi Minh Phong,10A2,Nam,5.5,2.25,8.75,3.5,7.5,0.25,2.25,6.5,5,7
Võ Thanh Trâm,2A2,Nữ,2.25,4,6.25,5,8.25,3.5,3,0,1.75,1.5
Huỳnh Thanh Linh,12A1,Nữ,2.25,3,9.5,1.5,9.75,0.5,1,0,2.25,8.5
Phan Ngọc Hương,5A1,Nữ,7,0,1.75,6.75,10,5.75,0,2,5.5,8.75
Huỳnh Mai Vy,3A2,Nữ,5,7.25,0.75,7,5.25,4.5,9,5.75,0.5,0.25
Huỳnh Hoàng Phong,3A1,Nam,1.5,1.25,0,6,5.75,3.75,7,9,0.5,0
Bùi Minh Sơn,3B1,Nam,9.5,5,8,0,5,8.75,2.25,5,2,1
Lê Đình Huy,5A1,Nam,1.5,5.5,1.25,9,3.5,9.25,5,1.75,6.5,6.25
Phan Thái Hải,12A3,Nam,4,9.5,0.5,2,5.25,2.75,6.5,8.25,1.75,0.75
Hoàng Ngọc Thảo,12A3,Nữ,4,8.25,3,6.5,0.25,3.5,9,9.5,6.75,2.75
Phan Phương Vy,10A2,Nữ,4,5.75,8.75,4.75,5.5,1.25,2.5,8,9.75,5.5
Vũ Tuấn Sơn,5B1,Nam,6.5,4.75,1,2.75,1.5,6.25,9.75,2,2.75,4.25
Đặng Thanh Nhi,7B1,Nữ,4.75,6.5,6.25,9.25,9.25,6.75,2.75,3.75,0,3
Võ Diễm Vy,4B1,Nữ,5.75,4.75,0.5,3.25,9.25,2.25,0.25,3.75,4.25,6.5
Vũ Thái Phong,4A2,Nam,6.75,4,0.25,4.75,0,10,9.75,0.25,1.75,10
Vũ Mai Trang,5A3,Nữ,8.75,4,3.25,5.75,7.25,2.5,6.25,8.5,1.75,8
Nguyễn Thu Lan,4B2,Nữ,0,5.5,9,4,6,6.25,8.25,0.25,3,7.5
Hoàng Thị Nhung,2A2,Nữ,5.75,4.25,1.75,6,1,5,6,7.5,3.5,1.5
Võ Thu Trâm,10C1,Nữ,2.25,4.75,9.5,3,0.25,8.75,1,5.75,0.25,1
Trần Thu Trâm,5B1,Nữ,10,4.75,8,8.25,1.5,4.25,8.25,5,3.75,8.5
Đỗ Tuấn Thắng,9B1,Nam,0,7.75,1.5,0.5,9,1.75,2.75,8,8.5,8.5
Đặng Văn Hải,3B1,Nam,9.5,9.5,4.25,9.5,9.25,5,0,2.5,6.5,8.25
Phan Đức Huy,8A3,Nam,5.75,6,6.25,2.75,0,8.5,6.75,2.75,3.75,9.5
Nguyễn Đức Khoa,4C1,Nam,8.5,1.25,4,3.75,1.5,9.75,2.75,0.25,4,1.75
Vũ Phương Yến,3A1,Nữ,6.25,6.75,7.75,7.25,10,5,7,9.5,8.25,6.25
Trần Phương Vy,1B2,Nữ,7,6.25,4.75,6.75,1.5,4.75,8.5,9.75,0.25,5.5
Nguyễn Thái Đạt,2A2,Nam,0.5,7,2,8.75,2,6.75,6,1.25,5.75,5
Phạm Văn Sơn,9A2,Nam,9.75,2.75,4.5,0.75,2.75,1,5,5.5,6.5,1.5
Đặng Thanh Hương,11B1,Nữ,0.25,9.25,7.5,2,4.5,6,8.75,4.25,6.25,9.5
Trần Hữu Thắng,10C1,Nam,9,7.25,4.25,10,7.5,9.25,5.25,3.25,9.75,2.75
Trần Thanh Nhung,8C1,Nữ,1,7.25,8,8.75,0,2.75,4.5,4.75,7.25,0.25
Võ Tuấn Bảo,4A1,Nam,7.75,7.25,8.5,8.25,7.5,8,8.5,10,10,8
Đặng Mai Lan,2C1,Nữ,9,1.25,1.75,1.5,4.5,0.25,8.75,0,7.5,5.5
Lê Thái Minh,8B2,Nam,8,9.25,1.75,8.5,1.5,2,8.75,8,2.5,5.25
Vũ Mai Thảo,1A2,Nữ,0.25,4,8.25,6.75,3.5,6,6.25,3,5.25,3.25
Đỗ Diễm Trang,9C1,Nữ,9.25,3.75,7.75,6.75,9.75,9,9.25,7,0.75,8.75
Phạm Mai Trang,12A1,Nữ,8.25,7.25,4,5.75,7.75,2.25,7.75,6,7,7.5
Hoàng Thái Khoa,5A2,Nam,5.5,8.5,0,4.25,1,9.75,6,10,0.75,1.25
Phạm Ngọc Hà,8B2,Nữ,1.5,4.75,6.75,4.75,4.75,8,3.5,8,7,6.25
Vũ Diễm Linh,10A3,Nữ,4,5.25,5.75,9,9.5,5.75,9.5,1.25,2,7.5
Vũ Thu Lan,8A1,Nữ,1.5,5,9.25,2.75,0.5,6.75,4.5,5.75,3.75,4.5
Đỗ Đình Dũng,7B2,Nam,1.25,2.75,3.5,7.25,4.75,5.5,3.75,4.5,7.5,0.5
Lê Như Hà,11C1,Nữ,5.5,9.75,1.5,6.5,2,3.75,4,2.75,8.25,7.5
Nguyễn Văn Minh,2B2,Nam,6.25,6.5,4.75,5.25,9,4.25,4.25,7.5,3,9
Lê Hữu Phong,6A2,Nam,7.5,5.25,7,1.75,1.75,1.5,3.25,5.75,7,6
Phạm Đình Sơn,1B1,Nam,6.75,8.75,0.75,8,0.25,7.75,6.25,7.75,1.5,9.75
Võ Thị Hà,10A1,Nữ,8,3.5,2,3.25,2.5,4,1.75,3.5,3.75,2.75
Trần Diễm Vy,12B1,Nữ,7,6.75,8.75,2.25,6,2.5,6.5,3,8.25,4.5
Phạm Mai Nhi,2B1,Nữ,3.75,9.5,8.75,8.25,2,7.75,3.5,6.5,1.5,4.75
Đỗ Văn Đạt,3C1,Nam,0.5,3.25,5,6.5,2.5,9.25,1.5,2.5,6.75,0.5
Đặng Thái Long,4B2,Nam,7.75,5.25,5.5,1.5,6,10,4.75,6,6.25,2
Bùi Mai Linh,11C1,Nữ,1.75,0.5,2.25,3.5,1,5.75,2.75,2.5,0.5,5.75
Phạm Thanh Hương,9B1,Nữ,4.25,3.75,5,2.75,0.5,0.75,8.75,2.5,7,2.5
Huỳnh Thị Nhung,5B1,Nữ,9.5,7.5,4,7.5,5.25,0,1.5,9.25,1.25,1.75
Bùi Hữu Hải,9A2,Nam,10,2.75,9,6.5,0,5.25,2.5,2.25,1,1
Hoàng Như Nhi,10B2,Nữ,2.25,4.25,5,6.25,1.75,4.75,9.5,1.25,0.25,1
Đặng Minh Hải,9C1,Nam,0.25,1,7.25,1,9.25,7.75,7.25,2.5,7.5,0
Võ Phương Yến,9B1,Nữ,5.75,2.5,0,5.5,3.75,5.5,5.5,1.5,5.75,0.5
Đặng Bích Nhi,5A2,Nữ,3.25,2.25,9.75,6.75,9.5,6.5,0.75,7.25,2.5,0.25
Bùi Phương Trâm,8B2,Nữ,10,5,4.5,5,2,9.5,2.25,8,5.25,7.75
Phan Thu Hương,12B1,Nữ,6.25,3.75,8.75,5,9.25,1.25,0.25,7.25,9.25,8.25
Lê Thái Phong,9B1,Nam,3.25,1.75,1.75,4.5,9.5,2.25,5.25,3,6.75,5.25
Huỳnh Thị Trang,4B2,Nữ,3.75,2.5,2.25,8,3.5,5.75,0.5,4,2.75,9.75
Vũ Thái Sơn,7A2,Nam,2.25,4.5,6.25,9.75,3,7.75,0.75,3.25,1.25,2.25
Phạm Minh Sơn,1B1,Nam,0,4.25,3,3,8.5,1.25,6,10,7.5,4
Huỳnh Hữu Phong,4B2,Nam,1.5,4.5,2.25,1.25,3.5,5.75,0,8.75,3.25,7.5
Lê Thanh Lan,11A1,Nữ,0.5,7.75,2.75,6.5,1.5,9.25,8.5,4.75,4.25,8.25
Trần Ngọc Nhung,1A3,Nữ,8.75,1.5,4,3.25,7.5,8,0.5,1.5,5.25,8.5
Trần Như Trang,12A1,Nữ,2,10,2.75,6.5,1.25,6.25,3.5,7.5,6.5,2.75
Võ Thu Linh,5A2,Nữ,0.5,2,8.75,4.5,2,7.5,0.25,8.5,0.25,6
Nguyễn Như Yến,8A1,Nữ,9.25,6.75,1,2.25,3,6.75,2.75,9.25,0.75,1
Trần Phương Nhung,3A3,Nữ,6.75,2.25,3.25,0.25,4.75,2.75,3.25,5.25,0.75,3.75
Vũ Diễm Trang,9A2,Nữ,2.5,6.75,1.75,3.5,2.5,7,5,0.5,9.5,10
Nguyễn Thanh Thảo,12C1,Nữ,3.25,10,4.5,4,9.75,5.75,0,9.75,7.5,7.5
Vũ Hữu Thắng,3A2,Nam,0.5,7.75,10,1.75,3.5,3,3.25,8.25,4,10
Hoàng Gia Phong,5A3,Nam,1.25,9.75,2,6,6.75,2.25,5,1.5,6.5,2.5
Trần Văn Minh,5B2,Nam,9.25,2,2.75,5.75,9.75,8.75,0.5,0.25,3,4.5
Võ Tuấn Phong,9C1,Nam,4.75,7.5,10,6.5,10,10,2.25,5,2,7
Phan Văn Phong,9A2,Nam,10,1,6.25,5,5.75,6.75,0.25,7,5.5,3.25
Phạm Mai Linh,6B1,Nữ,0.25,7.75,2.5,7,8.25,8.5,8.25,6.25,1.75,7
Đặng Gia Minh,10C1,Nam,2.5,5.5,4,2.25,8.5,2.75,1.75,5.75,9.75,6
Đặng Thái Huy,7A1,Nam,5.75,6.5,4.5,9.75,5.25,0.5,8.25,1.25,2.25,2
Trần Đức Thắng,10C1,Nam,8.75,9.75,7.75,10,8.5,9.5,9,4.25,2.75,2
Trần Như Lan,3B2,Nữ,6.5,2.5,7.5,7.25,5.5,9.25,6.75,7.75,9.5,8.25
Trần Bích Thảo,6A3,Nữ,0.25,7,5.75,4.25,5.25,10,2.25,4.5,2.5,2.25
Hoàng Ngọc Vy,1B2,Nữ,0,7.75,6.75,8.5,9.75,8,7,3.75,9.5,8.75
Vũ Bích Thảo,10B1,Nữ,2.5,2,2.25,4,7.75,5.5,7.75,0.5,4.5,4.5
Vũ Phương Vy,2A3,Nữ,9.75,5.25,10,9,7,0.5,4,9.75,7,5.5
Bùi Tuấn Đạt,10A2,Nam,0.5,6.75,4.75,9.75,8,3.5,1.5,1.75,2.5,4
Hoàng Bích Linh,2C1,Nữ,0.5,1.25,1,5.75,7.75,8.75,5.5,3.75,8.25,8.25
Vũ Thanh Nhi,1A2,Nữ,8,1.25,5.75,9,2,1.25,2.75,4,7,7.25
Võ Như Nhung,11A1,Nữ,5.25,5.25,0,0,6.25,6.5,5.25,7,5,5.75
Trần Tuấn Đạt,1C1,Nam,7.5,1.25,2,3.5,3.75,8.25,2.75,8.5,1,7.75
Võ Như Nhung,11B2,Nữ,7.25,4.5,5.25,5.75,1.75,6,3.75,5.5,1,1.5
Hoàng Như Vy,2B1,Nữ,2.25,2.25,0,5.75,1.75,0.75,8,8.5,0.25,5.75
Đặng Thị Nhung,5A1,Nữ,1.75,2,8.25,3.25,1,0.75,8.5,2.5,9.75,7.75
Võ Gia Long,8B1,Nam,6.75,0,7.25,5.25,3.5,6.25,0,9.75,4,2
Vũ Thái Sơn,12A2,Nam,0.25,5,10,7.75,7,6.75,2.25,2,2.25,8
Bùi Như Hương,2A3,Nữ,2.75,5.25,4.5,7.75,9,5.75,3.75,5,6.75,0.75
Lê Gia Bảo,4A2,Nam,3,2.25,1,10,8.75,2,3,1.5,8,0.25
Võ Thái Đạt,2A1,Nam,1,8.75,6,9,5.5,9.5,3.5,8.5,2.25,6.25
Đỗ Minh Minh,1C1,Nam,7.5,1,9,2.5,8.5,1.75,4.25,7.5,6.25,9.75
Trần Thu Yến,6A2,Nữ,0.5,8.75,4.25,2.75,8.25,4.5,3,0.5,3.75,6.75
Đặng Phương Trang,11B2,Nữ,0.75,1.25,6.25,7,2,7.5,6.5,3.25,2.5,3.25
Vũ Diễm Nhi,1A3,Nữ,0.25,9.25,0.5,7.5,6.25,4,3.5,8.5,3,6.25
Võ Phương Linh,12A1,Nữ,6.75,9,6.25,6,5,6.5,9.5,9.25,5.75,4.25
Võ Thanh Nhung,9A3,Nữ,7.75,0,7.75,9.25,9.75,8.75,5.75,8.75,9.5,5.5
Hoàng Văn Hải,2A1,Nam,5.25,7,6.5,0.75,0,8,6,8,5.25,0.5
Đỗ Hoàng Sơn,4A2,Nam,0.25,7.25,0,3,8.25,5,7.75,0.25,0.5,2.75
Hoàng Bích Thảo,8A1,Nữ,5.25,6.75,9.75,6,8,6,6.25,0,0,7.25
Trần Hoàng Hải,7A3,Nam,5.75,0.25,2,3,2,0.25,7.75,2.5,5.5,3.75
Đặng Thu Yến,7A1,Nữ,6.75,9.25,0,0.25,6.25,10,6.25,2.5,2.5,0
Hoàng Thái Đạt,10A2,Nam,2.25,9.5,3.5,4.75,6.25,7.75,8,0.75,7.25,7.25
Phạm Phương Trang,6A3,Nữ,6.5,5,8,3.25,5.25,0.5,7,1.5,2.25,6
Đặng Minh Phong,6B2,Nam,8.5,9,1.75,3,0,4,7.75,4,0.5,9.75
Đỗ Văn Sơn,4A3,Nam,0,2.25,9.25,4,5.25,0.5,7,0.5,6.25,9.5
Phạm Minh Thắng,4A3,Nam,4.75,6.5,9.5,3.25,4.25,4.25,5.5,2.5,4,0.5
Trần Thu Linh,8B2,Nữ,3,6.75,5.75,4.75,7.5,3,4,6.5,5.5,4
Bùi Gia Minh,7B1,Nam,5.75,1,4.75,2.5,8.25,7.75,7.75,3.25,0.25,7.25
Trần Gia Long,2A2,Nam,9,4.5,1.75,5.75,7.5,0,6.25,5,4.25,8.5
Nguyễn Đức Sơn,11B2,Nam,0.25,3.25,6,2.5,1.25,6.25,6.25,6.5,2,1.5
Trần Thái Long,2A2,Nam,4.25,3,7.75,3,7.25,5.5,9.75,1.25,2.25,1
Trần Phương Nhi,2B2,Nữ,2,8,2.75,3.25,4.25,0.25,3,5.5,6.5,5
Phan Thanh Hà,5B1,Nữ,4.5,8.25,2.75,5.5,6.25,3,8.75,2.75,2.5,7.5
Nguyễn Thu Linh,9A2,Nữ,1.25,4,4,4.75,1.25,6,3.5,7.25,8.75,2.5
Phan Diễm Thảo,11B2,Nữ,1.75,2.75,8,8.25,8.75,1.25,0.25,0.75,5.5,4.75
Đỗ Thanh Thảo,2A1,Nữ,1,6.5,3,1,6.25,8.5,10,8,4,7.25
Phan Minh Dũng,2B2,Nam,0.25,6.5,1.5,6.5,6.75,5.75,0.75,2.5,4.25,6.75
Phan Như Nhi,4A3,Nữ,8.25,9.25,1,5.5,9,9.5,5.25,9.75,2,9.75
Võ Thanh Lan,11B2,Nữ,5,3,6.75,1.25,1.5,4.75,2,2.5,4.25,3.75
Trần Thu Trang,4A1,Nữ,2,3.75,6,5.75,7.75,8,7.75,6.75,9.25,7.75
Đặng Gia Long,11A1,Nam,1,3.5,7,3.75,0.25,8.5,7.25,5.25,4.25,5.5
Phạm Thị Vy,9A1,Nữ,3.25,5.5,3,1.25,1.75,7.25,2,4.5,4.5,4.75
Lê Như Hà,12C1,Nữ,6.75,2.25,1,1.5,2.25,1.5,2.25,6.25,1.5,8.25
Bùi Văn Sơn,4C1,Nam,4.5,6.5,1.25,4,6,3.5,3.5,3.75,3,5.5
Trần Thị Lan,4B2,Nữ,5.25,0.25,6,4.5,6.75,0.25,2.75,3.25,7.25,5.5
Phạm Thị Hà,4B2,Nữ,5,3.25,9.25,0.25,2.5,2.5,5.75,9.75,4.5,4.25
Phan Phương Trâm,3C1,Nữ,1.25,7.5,7.75,6.75,0.75,4.25,10,0.25,3.25,5.75
Phạm Mai Nhi,8A3,Nữ,2.5,6,0.75,2.5,6.25,4,5,1,9.25,7.25
Bùi Hoàng Phong,11A3,Nam,1,3.75,2.25,9.75,3.25,3.25,9.25,7.75,7.5,0.75
Bùi Đức Bảo,2B1,Nam,5.75,5.5,9.75,2.5,5.25,3.75,3.25,1.5,5.25,7.5
Trần Đức Phong,6A2,Nam,5.75,6.75,4.75,0,0.25,0,0.5,6.25,8,5.25
Lê Bích Yến,8A1,Nữ,7,3,5,5.75,8.75,3.75,0,7.5,1.75,3.25
Huỳnh Bích Lan,1B2,Nữ,5.25,2,9.5,9,1.5,8,8,5.75,1,2.25
Hoàng Bích Yến,2B1,Nữ,10,3.75,1,4.25,8.75,6,9.25,8,7.5,9.5
Nguyễn Như Yến,12C1,Nữ,7,9.5,2.5,9.25,6,8,9.75,4,5,6.75
Võ Hữu Khoa,9A2,Nam,5.25,9.5,9.25,9.5,4.5,0.75,5.25,0.25,6.5,8
Võ Minh Minh,5B2,Nam,9.25,6.25,1.75,5,8.25,2.5,5,1.25,5,3.75
Vũ Hoàng Huy,5B1,Nam,0.25,1.5,9.25,2,2,6.25,9.5,0.5,8.5,2.25
Võ Đình Hải,12B1,Nam,9.25,7,1,3.5,1.25,0.5,5.25,8.75,5.75,7
Phạm Thu Linh,1C1,Nữ,5.75,10,8.5,6,6,6.25,9,4.5,4.5,8.75
Phan Như Trâm,7B2,Nữ,2.75,5,8.5,3.5,6,0.5,7.75,9.5,8.5,3.5
Võ Thị Nhung,5A1,Nữ,8.25,9,5.75,0.5,2.75,5.5,3.25,6.25,6.75,2.5
Phan Bích Linh,6C1,Nữ,6,7.25,0.25,6.5,6.75,5.75,5,4.5,2,0
Phạm Gia Khoa,2B2,Nam,6.25,8,2,5.25,6,8,6.75,6.25,5,7.25
Võ Như Linh,2A2,Nữ,7.75,2.25,0.5,6.5,0.5,1,8.75,1.25,6.25,0
Phan Đức Sơn,2A3,Nam,8.75,1.25,3.75,0.25,3.25,3.25,6,2.25,7.25,7
Đỗ Văn Minh,9B1,Nam,4.5,5,8.5,9,2,1,8.25,3,9.5,8.75
Phạm Thị Yến,6B1,Nữ,5.75,7.75,4,7,6.75,4.5,3.5,8.75,0.25,7
Vũ Minh Long,5C1,Nam,1,4.25,2,4,1.75,4.75,1.25,4.25,2.75,3.5
Lê Minh Minh,9A1,Nam,4,4,7.5,9.75,0.25,6.75,9,2.75,7.25,4.25
Nguyễn Như Nhi,5B1,Nữ,7.75,3,4.25,8.5,4,0,0.5,0,0.5,0.75
Đặng Thanh Linh,10C1,Nữ,8,7.25,9.25,9.5,3.25,7.5,9.75,7.25,3.5,7.25
Huỳnh Đức Đạt,10A1,Nam,0,0.75,6.75,4.25,4,2,3.25,8.75,5.5,5.75
Lê Văn Dũng,2A2,Nam,9.75,4.75,8.25,0.75,3.5,5.75,5.5,8,8,8.5
Đỗ Hoàng Long,3C1,Nam,8.25,10,5.5,4.5,8.25,1,1,7.25,1.25,9.75
Võ Thị Lan,11C1,Nữ,3.25,7.75,2.5,6,1.5,4,2.5,3,0.75,1.5
Lê Hữu Dũng,2A2,Nam,2.25,10,1,1.75,8.25,2.75,0.5,1.5,7.5,9
Đặng Diễm Nhi,12A2,Nữ,8.5,4.5,0.5,1.5,7,4.25,7,1,2.75,1
Lê Thái Đạt,6B2,Nam,1,1.75,8.5,6.75,8.75,3.5,6.5,7.75,6,9
Hoàng Phương Nhi,3B2,Nữ,7,4,5.5,7,7.75,8.5,2,5.5,7.5,1.75
Nguyễn Hoàng Huy,3B2,Nam,8.5,0,4,8.25,0,6.75,1.75,2,2.75,2.5
Huỳnh Đức Minh,9A2,Nam,4.25,5,6.75,8.75,2,9,4.25,1,8,7.75
Huỳnh Minh Sơn,12C1,Nam,5,0.75,8.25,8,6.25,6.25,5,7.5,4.5,8
Võ Diễm Nhi,7B1,Nữ,9.5,2.75,3.75,8.25,4,2.75,2,9.5,2.25,4
Huỳnh Ngọc Hà,8B1,Nữ,5,3,6.5,0,10,4,4,7.5,3,0.5
Phạm Đình Thắng,11C1,Nam,9.5,9.5,0.75,8.25,5.75,3.5,2.25,0,0,8
Hoàng Đức Khoa,6B2,Nam,5.25,3.25,8,9.75,7,9,5.5,10,10,9
Huỳnh Hoàng Khoa,5A1,Nam,1.25,8,8,7,5,5.75,1.5,7,9.25,5.75
Trần Hoàng Dũng,4C1,Nam,1.25,8.25,6.25,0.5,4.75,4.25,8,7.5,6.75,2.25
Hoàng Minh Đạt,4B2,Nam,5,1.5,3.75,4.75,6.25,9.25,7,0.75,5.75,5.5
Trần Thị Trâm,12A3,Nữ,3.25,7.5,1,8.75,7.5,3,3.75,9,6.75,5
Đỗ Minh Khoa,11A1,Nam,0.5,2.25,0.5,5.5,0.5,8,3,6.25,9.25,0
Đặng Mai Trang,10A1,Nữ,7.25,3.75,3.25,1.25,3.25,5.25,5.25,1.5,1.5,0
Đỗ Diễm Vy,8B2,Nữ,6,8.75,0.25,3.5,6.5,5.75,0.25,6,2.5,5
Phạm Đức Huy,6A1,Nam,1.5,9.5,8,0.25,7.25,1.25,7,4.25,2.75,0
Nguyễn Như Nhi,10A2,Nữ,3.25,2.25,2.5,3.75,2,1.5,4.25,0.25,9.75,8
Võ Diễm Yến,10C1,Nữ,8.25,5.75,0.25,2.75,2.75,3,1,6.75,7.5,7.25
Bùi Đình Khoa,5B1,Nam,6,9.25,4,3.75,6.5,9.5,2.5,9,1.5,1.5
Trần Như Linh,2B1,Nữ,3,1.25,5.25,6.25,8,1.25,0.75,6.25,7.75,2.25
Nguyễn Phương Nhung,11B1,Nữ,6.25,5,8,0,1.5,8.5,5.5,4,6.75,8.5
Hoàng Đình Thắng,7B1,Nam,6,6.75,9,5.75,3.75,7.5,9,0.5,10,5
Đỗ Diễm Lan,10B2,Nữ,8,6,7,7.75,1,2.25,5.5,5.5,4.75,5.75
Đặng Hoàng Thắng,8C1,Nam,0.5,4.25,6.75,7.25,4.5,9.5,2,9,0.25,7.25
Huỳnh Như Trâm,3A2,Nữ,0.25,7.25,9.25,2.5,7.25,8.5,10,6.5,2.5,6.25
Trần Bích Nhung,2A2,Nữ,5.25,5,6.75,2,3.25,2,6.75,6.25,8,5
Phan Diễm Trang,6B1,Nữ,0.5,2.5,4.75,1,3.75,0,7.25,0.75,6.5,9.5
Huỳnh Minh Long,10B1,Nam,7.75,4.75,9.5,6.5,2,8.5,2.25,0.25,3,2.5
Bùi Mai Lan,7A1,Nữ,4.75,8.75,1,5,3.25,6.25,9.25,3.5,0.5,9
Đặng Minh Phong,10C1,Nam,7.5,8,1.75,2.5,9.25,8.25,4.5,9,0,2.25
Vũ Bích Nhung,10A3,Nữ,2.5,5,6.25,3.5,8,9.5,7,4.5,4.75,5.75
Hoàng Gia Huy,11A1,Nam,0.25,1,10,7,9.5,0,2.5,9.25,7.75,6.5
Hoàng Đức Thắng,5B1,Nam,5.5,6.5,2.5,8.25,4,0.25,9,7.5,3.75,10
Phạm Hữu Minh,4C1,Nam,2.25,9.25,5.5,0,5.5,9,3.5,5,2.75,2.25
Vũ Thanh Hương,8A1,Nữ,5.75,8.75,3,2.75,5.5,0.25,5,7.25,10,2
Trần Ngọc Trang,2B1,Nữ,0.25,4,5,2,1,3.25,6.5,2.75,5.25,7
Phan Đình Huy,11B2,Nam,8.5,8.25,3.75,3.75,5.5,10,3.25,10,7.25,3.75
Võ Phương Lan,9A2,Nữ,4,1.75,9.25,7.25,4,2.25,9,0.5,6.75,3.5
Hoàng Đức Dũng,4B2,Nam,5.5,1.5,7,6,9.5,7.25,6.75,2,6.5,9.25
Phan Mai Nhi,11A2,Nữ,3.25,4.5,8.5,0,2.5,5.5,4.75,2,8.75,4
Phan Thu Hà,9A3,Nữ,8.25,9.75,0.5,1,0.5,3,9.5,6.25,3.5,2
Hoàng Hữu Đạt,6B2,Nam,9.5,2.25,4,4.75,6.75,3.75,3.5,8,4.5,2.25
Huỳnh Mai Linh,8C1,Nữ,4.5,2.25,2.75,6.25,3.75,2.75,2.25,3.5,7.75,6.5
Bùi Tuấn Hải,8A1,Nam,6.25,5.75,7.5,1.5,5,5.5,6.25,6.25,4,5.75
Đặng Đình Bảo,4B2,Nam,8,1.25,8,9.5,3,2.5,6.75,9,5.5,5
Lê Thái Đạt,11A3,Nam,1.5,3,3.75,1.75,9.5,1.5,9.75,9.25,5.25,3
Nguyễn Như Linh,2B1,Nữ,2.75,5.75,2,0.5,7.5,5.5,0,6.75,2,5.25
Nguyễn Ngọc Nhung,12B1,Nữ,6.25,5,3,5.25,3.5,6.25,0,3.75,2,5.25
Vũ Minh Đạt,9B2,Nam,0.5,6,8.25,9.75,4.75,8,1.75,1.25,0.25,1.25
Đặng Hoàng Dũng,5B2,Nam,2.75,6.25,8.25,0.5,8,2,8.25,1,7.75,8.25
Đỗ Đức Phong,7C1,Nam,9.75,7.75,1.25,7.25,4,0.25,5,0.75,0.5,8.75
Vũ Gia Phong,2C1,Nam,8.25,6.75,7,2.75,6.25,7,2.75,5.25,3.5,8.5
Đặng Bích Trang,11C1,Nữ,0.25,8.5,9.75,8.5,4.5,0.5,0.75,4.25,6.25,9.5
Phan Thái Minh,2A2,Nam,4.5,2.25,5.75,3,1.5,7,9.5,3,1.5,6
Phan Đức Minh,6C1,Nam,5,5.5,9.5,7.75,2.25,0.25,9.75,4.5,7.75,5.5
Bùi Mai Hà,3A1,Nữ,1.75,2.5,9.5,1.5,10,1.75,7.25,8,9,3
Huỳnh Mai Linh,2C1,Nữ,8,6.75,4.25,2.25,6,8.5,2.75,6.5,4.5,8.75
Vũ Thái Bảo,8B2,Nam,7.75,6.25,1,9.5,3,0,0.25,1.75,1.75,7.75
Võ Hữu Long,2B2,Nam,7.5,5,0.75,8.75,7,7.75,2,6.25,4,7.25
Phạm Thanh Nhi,1A3,Nữ,4.75,3.5,6.75,9.75,7.25,5.75,8.75,7,5.5,6.75
Huỳnh Hữu Dũng,10B1,Nam,6,0.25,6,7.5,3.5,3.75,9.5,9.25,3.5,9.75
Huỳnh Tuấn Huy,6A1,Nam,9.75,0,0.5,0.75,0.75,4.25,5.75,4.25,8.25,6.75
Võ Tuấn Huy,1B2,Nam,4,6.75,0.25,2.25,6.5,9.5,6.25,2,6,6.75
Trần Thị Nhung,6A3,Nữ,4.75,2.75,7.25,3.5,2,2.75,0.5,8.25,1.75,6.5
Lê Phương Nhung,3B1,Nữ,1,7,2,5.75,9.75,0.5,8.5,4.75,8,3.5
Trần Gia Đạt,10A2,Nam,2.75,0.75,5,6.5,5,6.75,2.75,8.75,1.5,3.25
Trần Thanh Vy,7B2,Nữ,8.75,7.5,1,2.25,8.5,0.25,0,7.75,7,1.75
Võ Đình Huy,5C1,Nam,7,3,5.75,4.25,5.25,1,8.25,0.75,8.75,7.75
Huỳnh Mai Nhi,7A2,Nữ,9.5,0.5,9,3.25,8.25,8.5,5.25,1.5,1.75,8
Vũ Diễm Thảo,1C1,Nữ,5.75,6,4.25,6.75,7.75,2,8.5,10,9.75,7.25
Võ Bích Trang,10C1,Nữ,5,9.5,6,8,2.5,3.75,9.75,5.5,0.25,4.25
Huỳnh Phương Trâm,9A2,Nữ,9.5,7.75,4.75,9.75,2.75,9.5,8,0.25,8.75,4.25
Bùi Phương Nhi,5C1,Nữ,1.75,1.5,2.75,6.25,5.75,2.75,9.25,3.25,8.5,3.5
Nguyễn Gia Đạt,9A1,Nam,8.75,3,4,7.75,0,8.5,0.75,9.75,7.25,7.75
Huỳnh Diễm Trang,9A1,Nữ,1.25,9.5,0.75,7,9.25,3.25,1.25,6.25,9,5.5
Đỗ Văn Đạt,5C1,Nam,6.25,10,3,5.25,1,4.75,5.5,9,2.25,5.75
Đặng Ngọc Hà,7A3,Nữ,3.75,2.5,5.75,7.25,4.5,2.75,6.5,3.75,1.5,6.25
Hoàng Thị Nhung,7B1,Nữ,1,5.5,2.25,4,6.75,6.5,3.5,3.75,3,1.75
